Line,Label
"Paul Ryan went on offense Tuesday in response to criticism over his Medicare plan, using an interview with Fox News coupled with a new TV ad to claim President Obama's health care plan treats the treasured entitlement like a  piggy bank,  while the  Romney-Ryan  plan preserves it.",Informational
"Ryan, in his first one-on-one interview since being named Saturday as Mitt Romney's running mate, told Fox News on Tuesday he thinks Medicare can be a winning issue for their campaign.",Neutral
"""We're the ones who are offering a plan to save Medicare, to protect Medicare, to strengthen Medicare,"" Ryan said.",Neutral
"""We're the ones who are not raiding Medicare to pay for ObamaCare.",Lexical
" We're the ones continuing the guarantee of Medicare for people in or near retirement.""",Neutral
He added:  President Obama is actually damaging Medicare for current seniors.,Informational
"It's irrefutable and that's why I think this is a debate we want to have, and that's the debate we're going to win. ",Neutral
"The comments signal Ryan and Romney are prepared to dig in and fight back, as Democrats lob charges that Ryan stands for  ending Medicare as we know it. ",Neutral
"The Obama campaign used that line Monday in a Web video timed for Romney's arrival in Florida, with its large senior population.",Neutral
"The video pointed to Ryan's budget proposals, which include significant changes to Medicare.",Neutral
The Romney campaign retorted with an ad of its own Tuesday.,Neutral
"The ad says:  You paid in to Medicare for years ' now when you need it, Obama has cut $716 billion from Medicare.",Neutral
Why? To pay for ObamaCare. ,Informational
Ryan told Fox News the campaign is trying to show the  clear contrast  between what Republicans propose and what Obama's health care law does.,Neutral
Ryan wants to make changes to Medicare for those retiring a decade from now but leave benefits for current retirees and those retiring soon in place.,Neutral
" They turned Medicare into a piggy bank to finance ObamaCare,  Ryan said.",Informational
 And we want to point that out.,Neutral
And we want to ' restore those cuts to prevent that raid.,Neutral
 And so we propose no changes to anybody in or near retirement so that the guarantee of Medicare is for them.,Neutral
That's a clear contrast with President Obama's plan. ,Neutral
The Obama campaign is disputing that argument.,Neutral
"Obama campaign spokeswoman Lis Smith described the new Romney-Ryan ad on the subject as  dishonest and hypocritical,  considering Ryan's own proposals for Medicare.",Lexical
